#Site      X(m)             Y(m)             Z(m)           SEFDR      SEFDL     FR_PAR   FR_EL   FR_OFF  DR_RE    DR_IM    DL_RE    DL_IM   
ALMA       2225061.16400   -5440057.37000   -2481681.15000     70.00      70.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
LMT        -768713.96370   -5988541.79820    2063275.94720   3600.00    3600.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
PV         5088967.90000    -301681.60000    3825015.80000   3600.00    3600.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
APEX       2225039.53000   -5441197.63000   -2479303.36000   4900.00    4900.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
SMA       -5464523.40000   -2493147.08000    2150611.75000   5600.00    5600.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
GLT        1500692.00000   -1191735.00000    6066409.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
JCMT      -5464584.68000   -2493001.17000    2150653.98000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
KP        -1995678.84000   -5037317.69700    3357328.02500  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
BAJA      -2352576.00000   -4940331.00000    3271508.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
BAR       -2363000.00000   -4445000.00000    3907000.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
CAT        1569000.00000   -4559000.00000   -4163000.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
CNI        5311000.00000   -1725000.00000    3075000.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
GAM        5648000.00000    1619000.00000   -2477000.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
GARS       1538000.00000   -2462000.00000   -5659000.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
HAY        1521000.00000   -4417000.00000    4327000.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
NZ        -4540000.00000     719000.00000   -4409000.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
OVRO      -2409598.00000   -4478348.00000    3838607.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
SGO        1832000.00000   -5034000.00000   -3455000.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
CAS        1373000.00000   -3399000.00000   -5201000.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
LLA        2325338.00000   -5341460.00000   -2599661.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
PIKE      -1285000.00000   -4797000.00000    3994000.00000  10000.00   10000.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
SMT       -1828796.20000   -5054406.80000    3427865.20000  14400.00   14400.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
SPT              0.01000          0.01000   -6359609.70000  16900.00   16900.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
